scale,m,n,unknowns,nodes,ppn,threads,mpi_ranks,total_cores,unknowns_per_core,matrix_type,runtime_seconds,memory_mb,status,source_file
medium,3160,3160,9985600,1,1,2,1,2,4.9928e+06,,3463,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997044.csv
medium,3160,3160,9985600,1,4,1,4,4,2.4964e+06,,2064,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,2,2,2,4,2.4964e+06,,2235,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,2,2,2,4,2.4964e+06,,2252,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997044.csv
medium,3160,3160,9985600,1,1,4,1,4,2.4964e+06,,3473,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,1,4,1,4,2.4964e+06,,3481,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997044.csv
medium,3160,3160,9985600,1,8,1,8,8,1.2482e+06,,2145,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,4,2,4,8,1.2482e+06,,2068,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,2,4,2,8,1.2482e+06,,2273,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997044.csv
medium,3160,3160,9985600,1,2,4,2,8,1.2482e+06,,2277,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,1,8,1,8,1.2482e+06,,3410,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,1,8,1,8,1.2482e+06,,3522,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997044.csv
medium,3160,3160,9985600,1,16,1,16,16,624100,,1838,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,8,2,8,16,624100,,1797,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,4,4,4,16,624100,,1763,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,2,8,2,16,624100,,2155,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,32,1,32,32,312050,,804,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,16,2,16,32,312050,,809.7,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,8,4,8,32,312050,,824.1,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,4,8,4,32,312050,,1090,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,64,1,64,64,156025,,329.7,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,32,2,32,64,156025,,331.9,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,16,4,16,64,156025,,366.2,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,8,8,8,64,156025,,530.8,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,128,1,128,128,78012.5,,136.5,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,64,2,64,128,78012.5,,136.7,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
medium,3160,3160,9985600,1,32,4,32,128,78012.5,,157.4,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job14009503.csv
