scale,m,n,unknowns,nodes,ppn,threads,mpi_ranks,total_cores,unknowns_per_core,matrix_type,runtime_mean_s,runtime_std_s,runtime_min_s,runtime_max_s,speedup,efficiency,cu,n_runs
medium-small,2240,2240,5017600,1,2,1,2,2,2508800.0,,1136.0,nan,1136.0,1136.0,1.6496478873239437,0.8248239436619719,0.31555555555555553,1
medium-small,2240,2240,5017600,1,1,4,1,4,1254400.0,,1747.0,nan,1747.0,1747.0,1.0726960503720664,0.2681740125930166,0.48527777777777775,1
medium-small,2240,2240,5017600,1,2,2,2,4,1254400.0,,1135.0,nan,1135.0,1135.0,1.6511013215859032,0.4127753303964758,0.31527777777777777,1
medium-small,2240,2240,5017600,1,4,1,4,4,1254400.0,,1052.0,nan,1052.0,1052.0,1.7813688212927756,0.4453422053231939,0.2922222222222222,1
medium-small,2240,2240,5017600,1,1,8,1,8,627200.0,,1767.0,nan,1767.0,1767.0,1.0605546123372949,0.13256932654216186,0.49083333333333334,1
medium-small,2240,2240,5017600,1,2,4,2,8,627200.0,,1148.0,nan,1148.0,1148.0,1.632404181184669,0.20405052264808363,0.3188888888888889,1
medium-small,2240,2240,5017600,1,4,2,4,8,627200.0,,1053.0,nan,1053.0,1053.0,1.7796771130104463,0.22245963912630579,0.2925,1
medium-small,2240,2240,5017600,1,8,1,8,8,627200.0,,1067.0,nan,1067.0,1067.0,1.7563261480787253,0.21954076850984067,0.29638888888888887,1
medium-small,2240,2240,5017600,1,2,8,2,16,313600.0,,1084.0,nan,1084.0,1084.0,1.7287822878228782,0.10804889298892989,0.3011111111111111,1
medium-small,2240,2240,5017600,1,4,4,4,16,313600.0,,828.8,nan,828.8,828.8,2.261100386100386,0.14131877413127414,0.23022222222222222,1
medium-small,2240,2240,5017600,1,8,2,8,16,313600.0,,817.3,nan,817.3,817.3,2.2929156980300993,0.1433072311268812,0.22702777777777777,1
medium-small,2240,2240,5017600,1,16,1,16,16,313600.0,,810.1,nan,810.1,810.1,2.3132946549808664,0.14458091593630415,0.22502777777777777,1
medium-small,2240,2240,5017600,1,4,8,4,32,156800.0,,531.9,nan,531.9,531.9,3.5232186501222036,0.11010058281631886,0.14775,1
medium-small,2240,2240,5017600,1,8,4,8,32,156800.0,,365.3,nan,365.3,365.3,5.1300301122365175,0.16031344100739117,0.10147222222222223,1
medium-small,2240,2240,5017600,1,16,2,16,32,156800.0,,332.4,nan,332.4,332.4,5.637785800240675,0.17618080625752108,0.09233333333333332,1
medium-small,2240,2240,5017600,1,32,1,32,32,156800.0,,330.3,nan,330.3,330.3,5.673630033303057,0.17730093854072054,0.09175,1
medium-small,2240,2240,5017600,1,8,8,8,64,78400.0,,242.7,nan,242.7,242.7,7.7214668314791925,0.12064791924186238,0.06741666666666667,1
medium-small,2240,2240,5017600,1,16,4,16,64,78400.0,,156.3,nan,156.3,156.3,11.98976327575176,0.18734005118362124,0.04341666666666667,1
medium-small,2240,2240,5017600,1,32,2,32,64,78400.0,,135.4,nan,135.4,135.4,13.840472673559821,0.2162573855243722,0.037611111111111116,1
medium-small,2240,2240,5017600,1,64,1,64,64,78400.0,,135.3,nan,135.3,135.3,13.85070214338507,0.2164172209903917,0.03758333333333334,1
medium-small,2240,2240,5017600,1,16,8,16,128,39200.0,,118.9,nan,118.9,118.9,15.761143818334734,0.12313393608074011,0.03302777777777778,1
medium-small,2240,2240,5017600,1,32,4,32,128,39200.0,,76.01,nan,76.01,76.01,24.654650703854756,0.19261445862386528,0.02111388888888889,1
medium-small,2240,2240,5017600,1,64,2,64,128,39200.0,,64.76,nan,64.76,64.76,28.93761581222977,0.22607512353304507,0.01798888888888889,1
medium-small,2240,2240,5017600,1,128,1,128,128,39200.0,,64.02,nan,64.02,64.02,29.27210246797876,0.22868830053108405,0.01778333333333333,1
medium,3160,3160,9985600,1,1,1,1,1,9985600.0,,3709.5,27.577164466275352,3690.0,3729.0,1.0,1.0,1.0304166666666668,2
medium,3160,3160,9985600,1,1,2,1,2,4992800.0,,3462.0,1.4142135623730951,3461.0,3463.0,1.0714904679376083,0.5357452339688041,0.9616666666666667,2
medium,3160,3160,9985600,1,2,1,2,2,4992800.0,,2237.0,22.627416997969522,2221.0,2253.0,1.6582476531068395,0.8291238265534198,0.6213888888888889,2
medium,3160,3160,9985600,1,1,4,1,4,2496400.0,,3477.0,5.656854249492381,3473.0,3481.0,1.0668679896462467,0.2667169974115617,0.9658333333333333,2
medium,3160,3160,9985600,1,2,2,2,4,2496400.0,,2243.5,12.020815280171307,2235.0,2252.0,1.6534432805883663,0.4133608201470916,0.6231944444444445,2
medium,3160,3160,9985600,1,4,1,4,4,2496400.0,,2064.0,nan,2064.0,2064.0,1.7972383720930232,0.4493095930232558,0.5733333333333334,1
medium,3160,3160,9985600,1,1,8,1,8,1248200.0,,3466.0,79.19595949289332,3410.0,3522.0,1.0702538949798037,0.13378173687247547,0.9627777777777777,2
medium,3160,3160,9985600,1,2,4,2,8,1248200.0,,2275.0,2.8284271247461903,2273.0,2277.0,1.6305494505494504,0.2038186813186813,0.6319444444444444,2
medium,3160,3160,9985600,1,4,2,4,8,1248200.0,,2068.0,nan,2068.0,2068.0,1.793762088974855,0.22422026112185686,0.5744444444444444,1
medium,3160,3160,9985600,1,8,1,8,8,1248200.0,,2145.0,nan,2145.0,2145.0,1.7293706293706295,0.21617132867132868,0.5958333333333333,1
medium,3160,3160,9985600,1,2,8,2,16,624100.0,,2155.0,nan,2155.0,2155.0,1.7213457076566125,0.10758410672853828,0.5986111111111111,1
medium,3160,3160,9985600,1,4,4,4,16,624100.0,,1763.0,nan,1763.0,1763.0,2.1040839478162225,0.1315052467385139,0.4897222222222222,1
medium,3160,3160,9985600,1,8,2,8,16,624100.0,,1797.0,nan,1797.0,1797.0,2.0642737896494157,0.12901711185308848,0.49916666666666665,1
medium,3160,3160,9985600,1,16,1,16,16,624100.0,,1838.0,nan,1838.0,1838.0,2.0182263329706203,0.12613914581066377,0.5105555555555555,1
medium,3160,3160,9985600,1,4,8,4,32,312050.0,,1090.0,nan,1090.0,1090.0,3.4032110091743117,0.10635034403669724,0.30277777777777776,1
medium,3160,3160,9985600,1,8,4,8,32,312050.0,,824.1,nan,824.1,824.1,4.501274117218784,0.140664816163087,0.22891666666666668,1
medium,3160,3160,9985600,1,16,2,16,32,312050.0,,809.7,nan,809.7,809.7,4.581326417191552,0.143166450537236,0.22491666666666668,1
medium,3160,3160,9985600,1,32,1,32,32,312050.0,,804.0,nan,804.0,804.0,4.6138059701492535,0.14418143656716417,0.22333333333333333,1
medium,3160,3160,9985600,1,8,8,8,64,156025.0,,530.8,nan,530.8,530.8,6.988507912584779,0.10919543613413717,0.14744444444444443,1
medium,3160,3160,9985600,1,16,4,16,64,156025.0,,366.2,nan,366.2,366.2,10.12971054068815,0.15827672719825234,0.10172222222222221,1
medium,3160,3160,9985600,1,32,2,32,64,156025.0,,331.9,nan,331.9,331.9,11.176559204579693,0.1746337375715577,0.09219444444444444,1
medium,3160,3160,9985600,1,64,1,64,64,156025.0,,329.7,nan,329.7,329.7,11.251137397634213,0.17579902183803459,0.09158333333333334,1
medium,3160,3160,9985600,1,16,8,16,128,78012.5,,243.1,nan,243.1,243.1,15.25915261209379,0.11921212978198273,0.06752777777777777,1
medium,3160,3160,9985600,1,32,4,32,128,78012.5,,157.4,nan,157.4,157.4,23.567344345616263,0.18411987770012705,0.043722222222222225,1
medium,3160,3160,9985600,1,64,2,64,128,78012.5,,136.7,nan,136.7,136.7,27.136064374542798,0.2120005029261156,0.03797222222222222,1
medium,3160,3160,9985600,1,128,1,128,128,78012.5,,136.5,nan,136.5,136.5,27.175824175824175,0.21231112637362637,0.03791666666666667,1
large,4500,4500,20250000,1,1,1,1,1,20250000.0,,7546.0,12.727922061357855,7537.0,7555.0,1.0,1.0,2.096111111111111,2
large,4500,4500,20250000,1,1,2,1,2,10125000.0,,7031.0,18.384776310850235,7018.0,7044.0,1.0732470487839567,0.5366235243919784,1.9530555555555555,2
large,4500,4500,20250000,1,2,1,2,2,10125000.0,,4520.5,6.363961030678928,4516.0,4525.0,1.6692843711978764,0.8346421855989382,1.2556944444444444,2
large,4500,4500,20250000,1,1,4,1,4,5062500.0,,7088.0,19.79898987322333,7074.0,7102.0,1.0646162528216705,0.2661540632054176,1.968888888888889,2
large,4500,4500,20250000,1,2,2,2,4,5062500.0,,4569.5,0.7071067811865476,4569.0,4570.0,1.6513841776999671,0.4128460444249918,1.2693055555555555,2
large,4500,4500,20250000,1,4,1,4,4,5062500.0,,4191.5,0.7071067811865476,4191.0,4192.0,1.8003101514970774,0.45007753787426935,1.1643055555555555,2
